"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CURD test","Create a new booking","SUCCESS","2023-01-10T20:35:41.442Z[Europe/London]","0.0","4.35"
"Booking CURD test","Get the booking","SUCCESS","2023-01-10T20:35:45.828Z[Europe/London]","0.0","0.94"
"Booking CURD test","Update the booking","SUCCESS","2023-01-10T20:35:46.771Z[Europe/London]","0.0","1.19"
"Booking CURD test","Update the partial booking","SUCCESS","2023-01-10T20:35:47.958Z[Europe/London]","0.0","1.25"
"Booking CURD test","Delete the booking","SUCCESS","2023-01-10T20:35:49.213Z[Europe/London]","0.0","1.25"
"Booking data driven test","Data Driven test for adding multiple bookings to the application","SUCCESS","2023-01-10T20:35:54.687Z[Europe/London]","0.0","18.97"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource","FAILURE","2023-01-10T20:35:54.898Z[Europe/London]","0.0","0.64"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T20:35:55.541Z[Europe/London]","0.0","0.99"
"Testing different request on the restful booker app","As a user I am creating authorization token","SUCCESS","2023-01-10T20:35:56.707Z[Europe/London]","0.0","0.71"
"Testing different request on the restful booker app","As a user I am creating booking and verify booking is made","SUCCESS","2023-01-10T20:35:57.614Z[Europe/London]","0.0","3.1"
"Testing different request on the restful booker app","As a user I update a booking with firstName","SUCCESS","2023-01-10T20:36:00.739Z[Europe/London]","0.0","0.64"
"Testing different request on the restful booker app","As a user I updated partial booking with lastName","SUCCESS","2023-01-10T20:36:01.412Z[Europe/London]","0.0","0.62"
"Testing different request on the restful booker app","As a user I delete the booking","SUCCESS","2023-01-10T20:36:02.064Z[Europe/London]","0.0","1.17"
"Testing different request on the restful booker app","CRUD Test","SUCCESS","2023-01-10T20:36:03.263Z[Europe/London]","0.0","6.28"
